"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.754924200E-2,-8.379705995E-2,4.788403213E-2,9.861717224E0,9.862189485E0
2.310709100E-2,-8.140286058E-2,6.224924326E-2,9.852140427E0,9.852673362E0
2.810809400E-2,-8.858546615E-2,4.309562966E-2,9.885659218E0,9.886150049E0
3.311355900E-2,-7.661445439E-2,4.548983276E-2,9.900024414E0,9.900425370E0
3.811879300E-2,-8.140286058E-2,5.746084079E-2,9.878476143E0,9.878978646E0
4.312402700E-2,-7.422025502E-2,5.985504389E-2,9.871294022E0,9.871754501E0
4.809887700E-2,-7.900865376E-2,5.267243832E-2,9.871294022E0,9.871750727E0
5.310249500E-2,-7.900865376E-2,5.746084079E-2,9.892841339E0,9.893323702E0
5.810657500E-2,-8.379705995E-2,5.746084079E-2,9.883264542E0,9.883786809E0
6.311488700E-2,-7.661445439E-2,5.985504389E-2,9.868899345E0,9.869378232E0
6.811642800E-2,-7.900865376E-2,5.506663769E-2,9.878476143E0,9.878945572E0
7.312258500E-2,-8.140286058E-2,4.788403213E-2,9.883264542E0,9.883715764E0
7.812620400E-2,-8.379705995E-2,5.506663769E-2,9.871294022E0,9.871803277E0
8.310320800E-2,-8.140286058E-2,6.224924326E-2,9.880870819E0,9.881402205E0
8.810628800E-2,-8.858546615E-2,5.506663769E-2,9.880870819E0,9.881421348E0
9.311082900E-2,-8.379705995E-2,5.506663769E-2,9.876082420E0,9.876591429E0
9.811544900E-2,-7.900865376E-2,4.309562966E-2,9.878476143E0,9.878886096E0
1.031237590E-1,-7.661445439E-2,5.267243832E-2,9.878476143E0,9.878913658E0
1.081253780E-1,-8.140286058E-2,5.506663769E-2,9.873687744E0,9.874176848E0
1.131004580E-1,-8.379705995E-2,6.224924326E-2,9.878476143E0,9.879027676E0
1.181050000E-1,-8.619125932E-2,5.027823523E-2,9.878476143E0,9.878980096E0
1.231123880E-1,-7.900865376E-2,4.788403213E-2,9.873687744E0,9.874119957E0
1.281142370E-1,-8.379705995E-2,5.985504389E-2,9.885659218E0,9.886195565E0
1.331198560E-1,-8.379705995E-2,5.506663769E-2,9.868899345E0,9.869408725E0
1.381241670E-1,-8.140286058E-2,5.267243832E-2,9.878476143E0,9.878951954E0
1.431023240E-1,-8.619125932E-2,5.506663769E-2,9.888052940E0,9.888581911E0
1.481040960E-1,-8.858546615E-2,5.985504389E-2,9.876082420E0,9.876661075E0
1.531100230E-1,-8.858546615E-2,4.548983276E-2,9.880870819E0,9.881372620E0
1.581137180E-1,-7.900865376E-2,4.309562966E-2,9.871294022E0,9.871704273E0
1.631195680E-1,-8.140286058E-2,5.027823523E-2,9.878476143E0,9.878939479E0
1.681241100E-1,-8.140286058E-2,5.027823523E-2,9.871294022E0,9.871757695E0
1.730986520E-1,-7.900865376E-2,5.027823523E-2,9.876082420E0,9.876526426E0
1.781025780E-1,-7.900865376E-2,5.027823523E-2,9.880870819E0,9.881314609E0
1.831090430E-1,-6.943184882E-2,5.267243832E-2,9.883264542E0,9.883648778E0
1.881115850E-1,-7.422025502E-2,4.548983276E-2,9.876082420E0,9.876466066E0
1.931164340E-1,-8.619125932E-2,5.027823523E-2,9.878476143E0,9.878980096E0
1.981216680E-1,-8.379705995E-2,4.548983276E-2,9.885659218E0,9.886119028E0
2.031288250E-1,-8.379705995E-2,4.788403213E-2,9.883264542E0,9.883735773E0
2.081014440E-1,-8.379705995E-2,5.267243832E-2,9.880870819E0,9.881366529E0
2.131053700E-1,-7.422025502E-2,4.788403213E-2,9.883264542E0,9.883659217E0
2.181102970E-1,-7.661445439E-2,5.027823523E-2,9.876082420E0,9.876507563E0
2.231186850E-1,-7.422025502E-2,4.309562966E-2,9.878476143E0,9.878848961E0
2.281211490E-1,-7.900865376E-2,5.267243832E-2,9.880870819E0,9.881327082E0
2.331250750E-1,-9.337386489E-2,3.830722719E-2,9.873687744E0,9.874203552E0
2.380989250E-1,-8.858546615E-2,4.548983276E-2,9.888052940E0,9.888554377E0
