"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.146847300E-2,2.937167883E-4,-8.996324614E-4,1.365003586E-1,1.365036391E-1
4.148233000E-2,1.977801323E-3,-1.821006835E-2,4.312992096E-2,4.685838633E-2
5.148949500E-2,1.815433986E-2,-1.516941935E-2,-1.412239075E-1,1.431917713E-1
6.146881300E-2,6.872724742E-3,-1.897684485E-2,-1.148843765E-1,1.166437952E-1
7.147690100E-2,-8.090568706E-3,-1.686383039E-3,-9.093761444E-2,9.131238092E-2
8.148944900E-2,-1.089047641E-3,-1.566371135E-2,-2.585248947E-1,2.590012723E-1
9.146646000E-2,1.145914849E-2,5.192987621E-3,-3.375387192E-1,3.377730986E-1
1.014787020E-1,-8.514340967E-3,1.040044054E-2,-2.106475830E-1,2.110759754E-1
1.114852510E-1,-6.903199479E-3,2.960608900E-2,-2.393789291E-1,2.413015673E-1
1.214674150E-1,6.467280909E-3,1.019070297E-2,-3.710632324E-1,3.712594761E-1
1.314753500E-1,-1.496260986E-3,1.732124761E-2,-3.399391174E-1,3.403834132E-1
1.414865130E-1,-1.330401376E-2,1.261262037E-2,-2.154483795E-1,2.162269160E-1
1.514642940E-1,-1.195405610E-2,-4.199004732E-3,-3.160076141E-1,3.162615109E-1
1.614763810E-1,3.970119171E-3,-1.622211188E-2,-4.261426926E-1,4.264698268E-1
1.714840070E-1,-2.314934134E-2,1.006179117E-2,-3.184051514E-1,3.194040890E-1
1.814661720E-1,-1.659473218E-2,1.979544759E-2,-2.800989151E-1,2.812874813E-1
1.914735670E-1,-2.854071558E-3,2.931745723E-3,-3.926267624E-1,3.926480809E-1
2.014841160E-1,5.937493406E-3,4.326570779E-4,-3.974170685E-1,3.974616552E-1
2.114619730E-1,-3.476765007E-3,1.734866016E-2,-3.255815506E-1,3.260619726E-1
2.214742140E-1,1.489365846E-2,3.035546280E-3,-3.662853241E-1,3.666005650E-1
2.314816100E-1,2.358283848E-2,-1.372351963E-2,-4.907846451E-1,4.915425242E-1
2.414622360E-1,1.087892056E-2,6.939335726E-4,-5.027580261E-1,5.028761928E-1
2.514699380E-1,5.734208971E-4,1.521538943E-2,-4.405088425E-1,4.407719106E-1
2.614817190E-1,1.659971848E-2,-1.596170291E-2,-5.626153946E-1,5.630865021E-1
2.714896520E-1,1.815883070E-2,-2.543431148E-2,-6.176843643E-1,6.184744306E-1
2.814718170E-1,5.454717204E-3,-8.727363311E-3,-5.985317230E-1,5.986202004E-1
2.914798280E-1,-1.458387077E-2,-3.834674135E-3,-6.105041504E-1,6.106903566E-1
3.014906070E-1,3.272768110E-3,-3.337319195E-2,-7.254123688E-1,7.261870184E-1
3.114679260E-1,7.382561918E-3,-2.134998515E-2,-6.918945312E-1,6.922632205E-1
3.214789370E-1,-2.447272837E-2,9.774561971E-3,-6.392230988E-1,6.397660717E-1
3.314872540E-1,-8.496182971E-3,7.223604247E-3,-7.924528122E-1,7.925312771E-1
3.414694960E-1,-2.151162364E-3,-9.745389223E-3,-8.331565857E-1,8.332163563E-1
3.514756600E-1,-2.936137281E-2,7.328037173E-3,-7.397832870E-1,7.404019869E-1
3.614882090E-1,-2.299199998E-2,2.652868256E-2,-7.565431595E-1,7.573572177E-1
3.714646050E-1,-4.653588869E-3,4.976275377E-3,-8.475236893E-1,8.475510740E-1
3.814780770E-1,-7.864288986E-3,5.128190853E-3,-7.900629044E-1,7.901186862E-1
3.914867030E-1,-3.010912240E-2,2.655781433E-2,-7.086620331E-1,7.097983896E-1
4.014667140E-1,-9.214090183E-3,1.452103350E-2,-8.140068054E-1,8.141884543E-1
4.114747240E-1,-2.788703889E-3,7.222684100E-3,-8.834390640E-1,8.834729899E-1
4.214851970E-1,-2.508609556E-2,2.151608467E-2,-7.565479279E-1,7.572694509E-1
4.314631310E-1,-4.012593627E-2,2.648172155E-2,-7.230291367E-1,7.246257688E-1
4.414738330E-1,-1.457458362E-2,1.900781505E-2,-9.073820114E-1,9.076980942E-1
4.514828440E-1,-1.525613666E-2,1.179607213E-2,-8.978061676E-1,8.980132580E-1
4.614649310E-1,-3.986915573E-2,1.670912281E-2,-8.403453827E-1,8.414565387E-1
4.714727110E-1,-3.797260299E-2,1.422765944E-2,-9.002008438E-1,9.011137021E-1
4.814846450E-1,-9.920107201E-3,-2.398934215E-2,-1.000757217E0,1.001093854E0
4.914618860E-1,-2.745487168E-2,2.229800448E-3,-9.552669525E-1,9.556640061E-1
5.014730510E-1,-3.774088621E-2,2.635804750E-2,-8.571052551E-1,8.583405732E-1
5.114804470E-1,-2.658343129E-2,-2.233158797E-3,-9.121713638E-1,9.125613748E-1
5.214927640E-1,-3.372048028E-3,-2.394123003E-2,-9.576616287E-1,9.579667783E-1
5.314703140E-1,-2.569009922E-2,1.206882484E-2,-7.972497940E-1,7.977548945E-1
5.414804780E-1,-1.917253435E-2,1.211010106E-2,-7.972497940E-1,7.975722379E-1
5.514884120E-1,-3.250465263E-3,-4.050303251E-2,-9.432964325E-1,9.441711819E-1
5.614718850E-1,5.526782479E-3,-2.133640088E-2,-9.001998901E-1,9.004696716E-1
5.714768180E-1,-2.399509028E-2,7.403165102E-3,-8.187971115E-1,8.191820805E-1
5.814888290E-1,-2.233731188E-2,-1.173669286E-2,-9.361124039E-1,9.364524217E-1
5.914679170E-1,-3.823749255E-3,-2.623865567E-2,-1.041457176E0,1.041794672E0
6.014789270E-1,-2.362026274E-2,1.234082319E-2,-9.193515778E-1,9.197377541E-1
6.114863990E-1,-2.675198019E-2,2.452357858E-2,-8.451299667E-1,8.459088219E-1
6.214684870E-1,-1.328782551E-2,3.082446754E-3,-9.696273804E-1,9.697233237E-1
6.314759590E-1,-9.501244873E-3,7.974402979E-3,-9.480791092E-1,9.481602512E-1
6.414879700E-1,-4.129876196E-2,3.200794011E-2,-8.068199158E-1,8.085100324E-1
6.514649030E-1,-3.716427460E-2,2.006780170E-2,-8.379440308E-1,8.390078061E-1
6.614774520E-1,-2.340023965E-2,-3.941617906E-3,-9.576539993E-1,9.579479579E-1
